[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[09/Mar/2015 17:56:53] DEBUG [django.db.backends.schema:93] CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime NOT NULL); (params [])
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.056) CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime NOT NULL); args=[]
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[09/Mar/2015 17:56:53] DEBUG [django.db.backends.schema:93] CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); (params [])
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.052) CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); args=[]
[09/Mar/2015 17:56:53] DEBUG [django.db.backends.schema:93] ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_45f3b1d93ec8c61c_uniq` UNIQUE (`app_label`, `model`); (params [])
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.018) ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_45f3b1d93ec8c61c_uniq` UNIQUE (`app_label`, `model`); args=[]
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('contenttypes', '0001_initial', '2015-03-09 22:56:53'); args=['contenttypes', u'0001_initial', u'2015-03-09 22:56:53']
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[09/Mar/2015 17:56:53] DEBUG [django.db.backends.schema:93] CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL, UNIQUE (`content_type_id`, `codename`)); (params [])
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.062) CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL, UNIQUE (`content_type_id`, `codename`)); args=[]
[09/Mar/2015 17:56:53] DEBUG [django.db.backends.schema:93] CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); (params [])
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.047) CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); args=[]
[09/Mar/2015 17:56:53] DEBUG [django.db.backends.schema:93] CREATE TABLE `auth_group_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `group_id` integer NOT NULL, `permission_id` integer NOT NULL, UNIQUE (`group_id`, `permission_id`)); (params [])
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.042) CREATE TABLE `auth_group_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `group_id` integer NOT NULL, `permission_id` integer NOT NULL, UNIQUE (`group_id`, `permission_id`)); args=[]
[09/Mar/2015 17:56:53] DEBUG [django.db.backends.schema:93] CREATE TABLE `auth_user` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `password` varchar(128) NOT NULL, `last_login` datetime NOT NULL, `is_superuser` bool NOT NULL, `username` varchar(30) NOT NULL UNIQUE, `first_name` varchar(30) NOT NULL, `last_name` varchar(30) NOT NULL, `email` varchar(75) NOT NULL, `is_staff` bool NOT NULL, `is_active` bool NOT NULL, `date_joined` datetime NOT NULL); (params [])
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.048) CREATE TABLE `auth_user` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `password` varchar(128) NOT NULL, `last_login` datetime NOT NULL, `is_superuser` bool NOT NULL, `username` varchar(30) NOT NULL UNIQUE, `first_name` varchar(30) NOT NULL, `last_name` varchar(30) NOT NULL, `email` varchar(75) NOT NULL, `is_staff` bool NOT NULL, `is_active` bool NOT NULL, `date_joined` datetime NOT NULL); args=[]
[09/Mar/2015 17:56:53] DEBUG [django.db.backends.schema:93] CREATE TABLE `auth_user_groups` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `group_id` integer NOT NULL, UNIQUE (`user_id`, `group_id`)); (params [])
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.042) CREATE TABLE `auth_user_groups` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `group_id` integer NOT NULL, UNIQUE (`user_id`, `group_id`)); args=[]
[09/Mar/2015 17:56:53] DEBUG [django.db.backends.schema:93] CREATE TABLE `auth_user_user_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `permission_id` integer NOT NULL, UNIQUE (`user_id`, `permission_id`)); (params [])
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.044) CREATE TABLE `auth_user_user_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `permission_id` integer NOT NULL, UNIQUE (`user_id`, `permission_id`)); args=[]
[09/Mar/2015 17:56:53] DEBUG [django.db.backends.schema:93] ALTER TABLE `auth_permission` ADD CONSTRAINT `auth__content_type_id_508cf46651277a81_fk_django_content_type_id` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); (params [])
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.040) ALTER TABLE `auth_permission` ADD CONSTRAINT `auth__content_type_id_508cf46651277a81_fk_django_content_type_id` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); args=[]
